"","times_snp_appears"
"445",1
"448",2
"478",2
"547",1
"730",1
"736",1
"880",1
"901",1
"970",1
"982",1
"1021",2
"1126",2
"1174",2
"1195",1
"1449",3
"1473",1
"1481",1
"1557",1
"1711",1
"1783",1
"1945",1
"1960",1
"1963",1
"2059",1
"2095",1
"2134",1
"2284",2
"2338",1
"2476",1
"2488",1
"2539",2
"2572",1
"2653",1
"2762",1
"2765",3
"2797",1
"2827",1
"2834",2
"2840",1
"2871",2
"2950",2
"2957",1
"2971",2
"3040",2
"3044",1
"3044.1",1
"3045",2
"3075",3
"3420",1
"3757",2
"3760",2
"3763",1
"3775",1
"3826",2
"3835",3
"3875",2
"4054",2
"4078",1
"4360",2
"4405",1
"4411",1
"4630",3
"5118",1
"5181",1
"5190",1
"5211",1
"5433",1
"5628",1
"5637",1
"5655",1
"5682",1
"5685",2
"5709",1
"5724",1
"5745",1
"5755",2
"5781",2
"5784",1
"5793",2
"5805",1
"5826",1
"5835",2
"5892",2
"5985",1
"6006",2
"6033",3
"6034",1
"6060",2
"6105",3
"6165",3
"6171",1
"6180",3
"6255",1
"6336",1
"6342",1
"6360",2
"6924",1
"6925",1
"7009",3
"7219",1
"7231",1
"7381",1
"7399",1
"7582",2
"7699",1
"7732",2
"7822",1
"7870",3
"7942",1
"8150",2
"8200",1
"8239",1
"8260",1
"8281",1
"8293",1
"8335",2
"8431",1
"8539",1
"8587",1
"8632",2
"8734",1
"8737",1
"8743",2
"8851",3
"8950",3
"8951",1
"9004",1
"9040",1
"9088",1
"9246",1
"9550",1
"9759",1
"9822",1
"9825",3
"9939",1
"9944",1
"10111",3
"10173",1
"10324",1
"10336",2
"10366",1
"10645",3
"10814",1
"10875",1
"10909",2
"10969",2
"10987",1
"10990",1
"11092",1
"11098",1
"11131",1
"11143",1
"11302",2
"11392",1
"11503",1
"11515",2
"11536",3
"11572",1
"11593",3
"11599",2
"11602",2
"11701",1
"11740",2
"11818",2
"11908",1
"11926",1
"12046",2
"12160",2
"12256",1
"12364",3
"12412",1
"12466",1
"12721",1
"12738",1
"12840",1
"12948",1
"12954",3
"13023",1
"13146",1
"13189",1
"13213",2
"13214",2
"13215",1
"13216",1
"13228",1
"13228.1",1
"13229",1
"13229.1",1
"13251",1
"13256",1
"13261",1
"13262",1
"13264",1
"13267",1
"13269",1
"13269.1",1
"13280",1
"13281",1
"13281.1",1
"13282",1
"13285",1
"13293",1
"13302",1
"13305",1
"13307",1
"13315",1
"13317",1
"13323",1
"13404",2
"13438",1
"13439",1
"13445",1
"13449",1
"13454",1
"13463",1
"13466",1
"13469",1
"13472",1
"13802",2
"13892",1
"13907",2
"14033",3
"14057",1
"14061",2
"14129",3
"14219",1
"14382",1
"14486",1
"14492",1
"14504",1
"14597",1
"14642",1
"14666",2
"14914",1
"14922",1
"14939",1
"15082",3
"15334",1
"15349",1
"15524",1
"15529",1
"15862",1
"15961",1
"15964",1
"15982",2
"16015",2
"16075",1
"16204",1
"16398",1
"16413",1
"16586",1
"16615",1
"16619",2
"16661",2
"16712",1
"16793",3
"16820",3
"17006",2
"17009",1
"17057",2
"17060",1
"17162",2
"17177",1
"17187",1
"17231",1
"17261",2
"17282",2
"17451",1
"17463",1
"17493",1
"17571",1
"17598",1
"17802",1
"17901",1
"17916",1
"18150",1
"18243",1
"18246",1
"18342",1
"18441",1
"18509",1
"18572",1
"18600",1
"18663",1
"19128",1
"19131",1
"19162",1
"19409",1
"19445",1
"19484",1
"19532",1
"19580",1
"19652",2
"19767",1
"19916",1
"20006",1
"20048",1
"20147",1
"20201",1
"20261",1
"20321",1
"20390",2
"20441",1
"20473",1
"20576",1
"20654",3
"20684",1
"20693",1
"20771",1
"20828",1
"20899",1
"20903",2
"21122",1
"21188",1
"21206",1
"21212",1
"21230",2
"21290",1
"21302",2
"21338",2
"21362",1
"21572",1
"21638",2
"21770",1
"21797",1
"21911",1
"21962",1
"21973",1
"21986",2
"22008",3
"22062",1
"22094",2
"22127",1
"22175",2
"22182",2
"22268",1
"22461",1
"22544",1
"22581",1
"22676",1
"22682",1
"22706",1
"22858",1
"22858.1",1
"22923",1
"23157",1
"23294",1
"23369",2
"23537",1
"23539",1
"23585",1
"24085",3
"24277",1
"24300",1
"24309",1
"24375",1
"24492",1
"24496",1
"24588",1
"25045",1
"25165",2
"25199",1
"25273",1
"25631",1
"25825",1
"25992",3
"26310",1
"26319",1
"26364",1
"26578",2
"26580",2
"26582",2
"26665",1
"26719",1
"26794",1
"26851",1
"26878",3
"26996",1
"27037",2
"27092",3
"27098",2
"27115",1
"27118",1
"27142",3
"27226",1
"27469",1
"27469.1",2
"27479",2
"27551",1
"27593",3
"27617",2
"27659",2
"27760",1
"27781",1
"27784",1
"27787",1
"27826",1
"27829",1
"27886",1
"27898",1
"27904",2
"27910",1
"27919",1
"27931",1
"27961",1
"27972",1
"27974",1
"27976",1
"28269",1
"28346",1
"28360",1
"28375",3
"28428",2
"28586",2
"28667",2
"28679",2
"28706",2
"28907",1
"28922",1
"28958",4
"28964",3
"28970",1
"28985",1
"29051",1
"29072",2
"29093",3
"29099",1
"29114",1
"29207",1
"29222",1
"29282",1
"29318",1
"29433",3
"29435",2
"29463",1
"29498",1
"29627",1
"29642",1
"29644",1
"30014",1
"30017",1
"30038",1
"30286",2
"30290",1
"30292",2
"30304",1
"30356",1
"30406",1
"30418",1
"30427",1
"30433",1
"30442",1
"30448",1
"30481",1
"30532",1
"30655",1
"30674",1
"30682",2
"30757",3
"30783",1
"30857",3
"30877",2
"30907",1
"30917",1
"31021",1
"31078",1
"31081",1
"31102",1
"31109",1
"31140",3
"31168",2
"31183",1
"31186",1
"31192",1
"31201",2
"31204",1
"31210",1
"31252",1
"31307",1
"31319",3
"31558",1
"31607",1
